Clean,PIM046,PIM053,PIM056,PIM068,PIM077,PIM091,PIM137,PIM172,PIM163,PIM164,PIM190,PIM231,PIM242,PIM269,PIM254,PIM311,PIM262,PIM284,PIM300,PIM328,PIM387,PIM402,PIM407,PIM388,PIM393,PIM404,PIM010,PIM014,PIM024,PIM051,PIM025,PIM038,PIM040
LY2157299_Broad,-0.14,-0.12,-0.03,-0.07,-0.21,-0.11,-0.09,-0.10,-0.03,-0.05,0.01,0.00,-0.18,-0.18,-0.13,-0.14,-0.10,-0.20,0.03,-0.06,-0.08,-0.06,-0.01,-0.01,-0.07,-0.09,-0.06,-0.03,-0.19,-0.24,0.00,0.01,-0.09
SU11274_Broad,0.16,0.02,0.13,0.06,0.08,-0.02,0.23,0.06,0.01,0.04,-0.08,0.05,-0.10,-0.09,-0.03,0.02,0.25,0.30,0.05,0.17,-0.03,-0.01,0.04,0.05,-0.04,0.00,0.07,0.12,0.01,-0.01,0.12,0.15,0.07
BRIVANIB_Broad,0.03,0.00,0.11,0.07,-0.27,-0.04,0.14,0.02,-0.01,0.08,-0.04,0.08,-0.12,-0.12,0.00,0.02,0.12,0.14,0.07,0.10,0.05,0.03,0.04,0.07,-0.04,-0.02,0.02,0.09,-0.07,0.02,0.05,0.09,0.08
GSK461364_Broad,0.08,0.03,0.66,0.14,0.08,-0.03,0.34,0.18,0.08,0.08,0.16,0.26,0.22,0.14,0.10,0.22,0.15,0.16,0.33,0.24,0.19,0.03,-0.01,0.36,0.20,0.18,0.05,0.15,0.02,-0.17,0.16,0.17,0.07
TAMATINIBR406_Broad,-0.05,-0.02,0.03,-0.10,-0.20,-0.07,-0.08,-0.04,-0.06,0.06,0.05,0.05,-0.07,-0.10,-0.02,-0.02,-0.03,0.02,0.19,0.23,0.27,0.12,0.09,0.17,0.02,0.08,0.03,0.05,-0.22,-0.14,0.17,0.19,0.07
NVPTAE684_Broad,-0.03,-0.07,0.06,-0.01,0.04,-0.04,0.08,0.02,0.12,0.15,-0.02,0.05,-0.09,-0.12,-0.05,-0.02,0.05,-0.13,0.06,0.06,0.11,0.38,-0.03,0.05,-0.08,-0.07,0.06,0.04,0.08,0.22,0.02,0.02,0.05
WP1130_Broad,0.17,0.28,0.30,0.21,0.14,0.00,0.28,0.10,0.27,0.26,0.23,0.05,0.03,-0.03,-0.03,0.04,0.28,0.11,0.31,0.26,0.24,0.29,0.20,0.25,0.14,0.25,0.13,0.29,0.16,0.20,0.30,0.31,0.18
FORETINIB_Broad,0.22,0.05,0.19,0.18,0.23,-0.07,0.08,0.11,0.19,0.32,0.22,0.20,0.13,0.01,0.13,0.08,0.31,0.08,0.34,0.32,0.36,0.33,0.30,0.19,0.06,0.13,0.23,0.22,0.14,0.29,0.09,0.13,0.21
SB743921_Broad,0.29,0.32,0.78,0.36,0.27,0.28,0.48,0.45,0.35,0.48,0.37,0.52,0.40,0.27,0.36,0.46,0.36,0.36,0.55,0.57,0.53,0.51,0.43,0.46,0.37,0.42,0.50,0.54,0.48,0.37,0.35,0.36,0.29
KU55933_Broad,0.01,-0.05,0.09,0.02,-0.38,-0.04,0.12,0.00,-0.02,0.05,0.01,0.07,-0.07,-0.08,-0.03,0.01,0.01,-0.08,0.06,0.05,-0.05,-0.05,-0.02,0.09,-0.06,0.01,0.02,0.04,-0.10,-0.09,0.09,0.11,0.17
CAL101_Broad,-0.05,-0.05,0.16,-0.01,-0.24,0.09,0.13,0.11,0.00,0.01,0.05,0.06,-0.01,-0.07,0.03,0.00,0.10,0.01,0.10,0.06,0.08,-0.02,0.01,0.18,0.14,0.32,0.04,0.02,-0.18,-0.01,0.19,0.14,0.11
BI2536_Broad,0.10,0.17,0.75,0.47,-0.32,0.21,0.32,0.28,0.35,0.31,0.23,0.47,0.35,0.30,-0.18,0.14,-0.17,-0.34,-0.07,0.40,-0.10,0.06,-0.03,0.15,0.17,0.35,0.14,0.18,-0.31,-0.28,0.15,0.12,0.27
SILMITASERTIB_Broad,0.08,-0.07,0.05,-0.04,0.10,-0.06,0.04,-0.02,-0.02,0.00,0.01,0.07,-0.11,-0.11,-0.05,-0.08,-0.09,0.00,0.02,-0.03,-0.03,-0.07,-0.04,0.10,0.03,0.05,0.03,-0.01,-0.08,-0.14,0.02,0.02,0.10
EPIGALLOCATECHIN3MONOGALLATEEPIGALLOCATECHINGALLATE_Broad,-0.08,-0.04,0.06,-0.09,-0.25,-0.03,-0.04,-0.08,-0.02,-0.02,0.06,0.06,-0.06,-0.09,-0.08,-0.07,-0.05,0.01,0.05,-0.05,0.00,0.00,-0.01,-0.01,0.03,0.01,-0.01,-0.02,-0.09,-0.12,0.01,0.02,0.01
MLN4924_Broad,0.30,0.00,0.84,0.39,0.48,0.01,0.43,0.36,0.58,0.37,0.24,0.41,-0.23,-0.52,-0.14,0.50,0.03,0.22,0.22,0.50,0.08,0.38,0.30,0.19,0.01,0.26,0.52,0.45,0.74,0.40,0.33,0.49,-0.02
LOVASTATIN_Broad,0.20,0.07,0.05,0.02,0.15,0.01,0.46,0.40,0.10,0.07,0.18,0.24,0.13,-0.03,0.16,0.16,0.41,0.28,0.32,0.34,0.15,0.03,0.03,0.16,0.09,0.05,0.17,0.27,-0.03,0.13,0.05,0.18,0.14
ISOX_Broad,0.22,0.31,0.45,0.47,0.50,0.16,0.52,0.47,0.59,0.50,0.19,0.25,0.41,0.29,0.23,0.37,0.13,-0.33,0.36,0.50,0.35,0.46,0.54,0.44,0.32,0.30,0.41,0.05,-0.03,0.26,0.19,0.36,0.54
DOXORUBICIN_Broad,0.35,0.33,0.50,0.42,0.55,0.22,0.51,0.46,0.33,0.39,0.29,0.39,0.68,0.62,0.30,0.50,0.25,0.08,0.52,0.81,0.49,0.57,0.51,0.69,0.54,0.59,0.51,0.58,0.30,0.24,0.52,0.45,0.59
ML203_Broad,0.04,0.01,0.07,0.07,-0.01,-0.01,0.42,0.45,0.25,0.10,-0.05,0.22,0.24,-0.07,0.11,0.12,0.44,0.48,0.01,0.15,0.02,0.03,0.01,0.05,-0.01,-0.07,0.09,0.19,0.32,0.45,0.09,0.18,0.08
MLN2480_Broad,-0.01,-0.03,0.15,-0.03,-0.12,-0.05,0.13,0.01,-0.04,0.13,-0.05,0.00,-0.11,-0.14,-0.02,-0.11,0.16,-0.06,0.03,0.05,0.00,0.04,0.02,-0.01,-0.09,-0.07,0.02,0.06,-0.07,-0.02,0.01,0.03,-0.01
CUCURBITACINI_Broad,0.38,0.38,0.74,0.56,0.40,0.03,0.71,0.53,0.91,0.51,0.56,0.56,0.36,0.10,0.61,0.76,0.91,0.71,0.63,0.62,0.81,0.67,0.55,0.88,0.88,0.89,0.71,0.91,0.44,0.74,0.43,0.57,0.33
AZD4547_Broad,0.00,0.01,0.00,0.02,0.05,-0.05,0.10,0.01,0.04,0.33,0.02,0.13,0.04,-0.11,0.08,0.08,0.09,0.10,0.06,0.03,0.28,0.12,0.14,0.00,-0.07,-0.07,0.14,0.01,-0.24,-0.10,0.08,0.09,0.14
TIPIFARNIBSENANTIOMER_Broad,0.07,0.08,0.12,0.18,-0.13,0.01,0.12,0.03,0.10,0.08,0.09,0.05,-0.07,-0.12,0.00,-0.02,0.14,0.12,0.18,0.05,0.06,0.06,0.04,0.10,0.04,0.07,0.08,0.04,-0.02,0.17,0.04,0.09,0.05
RIGOSERTIB_Broad,0.25,0.15,0.83,0.49,0.07,-0.06,0.43,0.43,0.70,0.31,0.24,0.47,0.28,-0.03,0.13,0.31,0.28,0.20,0.30,0.31,0.22,0.18,0.22,0.49,0.34,0.52,0.35,0.36,0.21,0.36,0.09,0.22,0.21
SALERMIDE_Broad,-0.05,-0.05,-0.01,-0.08,-0.25,-0.08,0.01,-0.06,0.01,0.03,-0.08,-0.05,-0.11,-0.14,-0.05,-0.04,-0.03,-0.01,-0.01,0.01,0.02,-0.06,-0.02,-0.01,-0.13,-0.12,-0.05,0.02,-0.14,-0.11,-0.08,-0.03,0.05
TAMOXIFEN_Broad,0.10,-0.03,0.04,0.00,0.10,-0.02,0.23,0.22,0.06,0.09,0.02,0.08,-0.01,-0.10,0.04,0.01,0.47,0.45,0.01,0.07,0.05,-0.02,-0.04,0.04,0.05,-0.01,0.03,0.11,0.22,0.34,0.00,0.08,0.03
RG108_Broad,-0.03,-0.07,0.02,-0.10,-0.22,-0.05,0.06,-0.05,0.00,0.01,-0.12,0.01,-0.12,-0.18,-0.05,-0.05,-0.11,-0.12,-0.04,-0.03,-0.02,-0.05,-0.02,-0.03,-0.15,-0.12,-0.01,0.02,-0.11,-0.10,-0.05,-0.04,0.05
NVPBSK805_Broad,-0.02,-0.02,-0.01,-0.02,0.07,-0.05,0.12,0.08,0.03,0.03,0.05,0.20,0.03,-0.07,0.04,0.00,0.22,0.24,0.07,0.07,0.09,-0.01,0.00,0.05,0.11,0.07,0.11,0.03,-0.10,0.17,-0.01,-0.04,0.04
TENIPOSIDE_Broad,0.06,-0.04,0.51,0.05,-0.07,0.03,0.20,0.16,0.10,0.35,0.10,0.28,0.29,0.25,0.16,0.27,-0.07,-0.24,0.04,0.22,0.46,0.42,0.35,0.35,0.04,0.11,0.29,0.22,0.35,0.22,0.20,0.21,0.03
MI2_Broad,0.25,-0.05,0.05,-0.06,-0.01,0.03,0.46,0.38,0.06,0.06,0.04,0.15,-0.03,-0.15,0.05,0.46,0.59,0.10,0.15,-0.01,0.00,-0.06,-0.08,0.04,0.04,0.03,0.16,0.33,0.23,0.07,0.03,0.03,0.09
PEVONEDISTAT_Broad,0.32,0.05,0.85,0.43,0.41,0.04,0.44,0.41,0.59,0.37,0.17,0.41,-0.25,-0.48,-0.14,0.50,0.00,0.24,0.18,0.50,0.08,0.39,0.32,0.12,-0.11,0.26,0.53,0.43,0.76,0.43,0.31,0.49,-0.04
SGX523_Broad,0.04,0.02,0.05,-0.04,-0.16,-0.01,0.08,0.05,0.06,0.06,-0.04,0.01,-0.09,-0.11,0.03,0.01,-0.01,0.04,0.06,0.05,0.07,0.06,0.08,0.07,-0.03,-0.03,0.04,0.06,-0.10,-0.05,0.04,0.07,0.06
BARDOXOLONEMETHYL_Broad,0.40,0.35,0.78,0.36,0.56,0.19,0.27,0.09,0.39,0.32,0.25,0.25,-0.13,-0.26,0.20,0.19,0.50,0.48,0.48,0.57,0.29,0.80,0.39,0.41,0.02,0.16,0.16,0.30,0.02,0.15,0.43,0.69,0.28
ML031_Broad,-0.04,-0.01,0.01,-0.04,-0.21,-0.02,0.01,-0.03,0.03,0.01,-0.09,0.02,-0.07,-0.14,-0.01,-0.04,-0.07,-0.12,-0.03,-0.07,-0.04,0.02,0.02,-0.08,-0.10,-0.06,0.02,0.02,-0.09,-0.06,-0.02,0.03,0.07
MG132_Broad,0.74,0.74,0.81,0.89,0.92,0.43,0.77,0.78,0.79,0.73,0.42,0.54,0.71,0.68,0.54,0.64,0.75,0.84,0.63,0.73,0.81,0.97,0.77,0.84,0.70,0.56,0.69,0.76,0.87,0.75,0.79,0.80,0.60
BARASERTIB_Broad,0.02,-0.02,0.39,-0.10,-0.26,-0.05,0.03,0.10,-0.04,0.08,-0.03,0.12,0.05,-0.05,-0.02,-0.02,0.00,-0.05,0.10,0.13,0.12,0.11,0.07,0.13,-0.09,-0.05,0.04,0.13,-0.10,-0.07,0.02,0.00,0.06
OSI027_Broad,0.26,0.44,0.31,-0.02,-0.01,0.20,0.50,0.32,0.29,0.36,0.24,0.21,0.21,0.15,0.19,0.31,0.43,0.45,0.53,0.51,0.33,0.19,0.14,0.53,0.50,0.53,0.26,0.27,0.07,0.27,0.31,0.26,0.53
MK0752_Broad,-0.05,-0.01,0.02,-0.04,-0.14,-0.04,0.13,-0.01,0.02,0.02,0.04,0.13,0.16,0.10,-0.02,0.01,0.04,0.15,0.07,0.10,0.01,-0.02,-0.01,0.22,0.11,0.04,0.08,0.12,0.02,0.02,-0.01,0.04,0.14
SNS032_Broad,0.47,0.61,0.62,0.59,0.76,0.42,0.68,0.76,0.50,0.25,0.28,0.47,0.74,0.70,0.42,0.59,0.63,0.22,0.65,0.75,0.60,0.62,0.60,0.77,0.76,0.62,0.47,0.78,0.76,0.77,0.64,0.74,0.78
PLX4720_Broad,-0.02,-0.04,0.08,-0.07,-0.35,-0.05,0.08,-0.03,0.06,-0.01,-0.03,0.04,-0.10,-0.16,-0.04,-0.08,0.08,0.13,-0.01,-0.04,0.06,0.01,0.01,0.01,-0.03,-0.03,0.01,-0.02,-0.15,0.04,-0.01,0.01,0.08
TW37_Broad,0.23,0.29,0.11,-0.08,-0.04,-0.01,0.08,0.03,0.08,0.37,0.10,0.02,-0.08,-0.12,-0.03,0.05,0.19,0.17,0.14,0.15,0.31,0.26,0.29,0.25,0.16,0.18,0.02,0.22,-0.07,0.03,0.17,0.18,0.20
ALISERTIB_Broad,0.00,-0.03,0.43,0.02,-0.08,-0.03,0.15,0.04,0.07,0.18,0.01,0.12,0.08,0.01,0.03,0.06,-0.11,-0.22,0.08,0.14,0.18,0.16,0.08,0.16,0.00,0.03,0.03,0.14,0.00,-0.13,0.04,0.09,0.07
BRD1812_Broad,0.01,0.09,-0.02,0.02,-0.28,-0.04,0.17,0.09,0.08,0.03,0.04,0.14,0.00,-0.15,0.07,0.02,0.12,0.00,0.11,0.19,0.11,0.03,0.02,0.16,0.23,0.12,0.05,0.04,-0.09,0.02,0.02,0.02,0.04
IBRUTINIB_Broad,0.30,0.17,0.24,0.19,-0.18,-0.12,0.30,0.49,0.18,0.00,0.07,0.11,0.22,0.10,0.11,0.25,0.32,0.30,0.07,0.28,0.09,0.03,0.00,0.35,0.44,0.59,0.11,0.09,-0.27,0.23,0.05,0.15,0.31
MK22062HCL_Broad,0.29,0.40,0.27,0.39,0.23,0.30,0.56,0.52,0.26,0.17,0.27,0.33,0.28,0.21,0.34,0.36,0.71,0.71,0.48,0.45,0.22,0.17,0.12,0.59,0.58,0.66,0.25,0.24,0.08,0.35,0.36,0.22,0.33
MYRICETIN_Broad,-0.02,0.01,0.03,-0.06,-0.29,-0.01,0.04,-0.05,0.05,0.05,0.04,0.04,-0.08,-0.11,-0.02,-0.01,-0.03,0.06,0.08,0.05,0.09,0.02,0.04,0.08,0.00,0.04,0.02,0.04,-0.08,-0.10,0.02,0.05,0.03
CABOZANTINIB_Broad,0.02,0.01,0.05,0.04,0.02,-0.04,0.12,0.09,0.03,0.08,0.01,0.01,-0.11,-0.13,0.02,-0.01,0.14,0.23,0.13,0.09,0.07,0.02,0.03,0.05,-0.07,-0.03,0.06,0.03,-0.12,0.03,0.03,0.08,0.09
IMATINIB_Broad,0.02,0.02,0.03,-0.11,-0.25,-0.03,0.06,0.02,0.06,0.02,0.03,0.03,-0.09,-0.12,-0.01,-0.01,0.00,-0.03,0.10,0.02,0.09,-0.04,0.02,0.11,0.00,0.10,0.03,0.06,-0.07,-0.01,0.00,0.01,0.05
ABIRATERONE_Broad,0.04,-0.02,0.04,-0.11,-0.20,-0.03,0.05,-0.02,0.01,0.03,-0.04,0.02,-0.10,-0.12,-0.03,0.00,0.00,-0.13,0.05,0.09,0.01,-0.07,0.01,0.03,-0.09,-0.06,0.01,0.06,-0.09,0.06,-0.04,-0.03,0.04
TRAMETINIB_Broad,0.00,0.17,0.49,-0.08,-0.02,0.05,0.10,0.18,0.11,0.25,0.09,0.17,0.15,-0.06,0.02,0.06,0.39,0.14,0.05,0.07,0.10,0.00,0.05,0.03,0.00,-0.04,0.07,0.11,-0.08,-0.02,0.02,0.10,0.16
MYRIOCIN_Broad,-0.05,0.04,0.00,-0.18,-0.25,-0.01,0.05,0.01,-0.07,0.00,-0.07,-0.03,-0.09,-0.09,-0.04,-0.08,-0.47,-0.50,-0.14,-0.01,0.05,-0.04,-0.04,0.09,-0.01,-0.04,0.18,0.07,-0.13,-0.34,0.00,0.00,0.03
DOCETAXEL_Broad,0.11,0.08,0.64,0.27,-0.15,-0.07,0.27,0.14,0.23,0.19,0.14,0.36,0.12,0.02,0.10,0.24,0.19,0.18,0.28,0.29,0.27,0.21,0.17,0.16,0.12,0.09,0.14,0.28,0.21,0.21,0.12,0.17,0.26
KX2391_Broad,0.26,0.14,0.80,0.27,0.04,-0.02,0.44,0.31,0.59,0.31,0.21,0.43,0.18,0.02,0.09,0.33,0.29,0.26,0.32,0.31,0.22,0.31,0.23,0.46,0.33,0.41,0.28,0.39,0.27,0.43,0.13,0.23,0.27
AZ3146_Broad,0.09,-0.02,-0.01,-0.09,-0.18,0.01,0.07,0.04,-0.01,-0.03,0.04,0.08,-0.03,-0.11,-0.01,0.00,0.04,0.01,0.03,-0.08,0.00,0.02,0.00,0.04,0.04,-0.01,0.02,0.03,-0.09,-0.03,-0.02,-0.03,0.05
YM155SEPANTRONIUMBROMIDE_Broad,0.95,0.98,0.99,0.95,0.92,0.97,0.92,0.96,0.92,0.68,0.94,0.86,0.92,0.79,0.98,0.98,0.92,0.92,0.89,0.76,0.98,0.96,0.96,0.98,0.98,0.98,0.92,0.99,0.98,0.99,0.89,0.93,0.98
FLAVOPIRIDOLALVOCIDIB_Broad,0.45,0.75,0.79,0.80,0.86,0.27,0.81,0.86,0.65,0.71,0.42,0.49,0.85,0.73,0.50,0.69,0.81,0.44,0.68,0.80,0.78,0.73,0.66,0.75,0.82,0.83,0.62,0.84,0.90,0.83,0.76,0.87,0.80
EX527SELISISTAT_Broad,-0.09,-0.05,0.00,-0.16,-0.17,-0.03,-0.02,-0.06,-0.03,-0.01,-0.02,-0.01,-0.11,-0.17,-0.09,-0.09,-0.09,-0.19,-0.09,0.03,-0.03,-0.04,-0.06,-0.02,-0.03,-0.07,-0.02,-0.05,-0.14,-0.20,-0.06,-0.03,0.01
GSK2636771_Broad,-0.01,-0.06,0.11,-0.05,-0.10,0.06,0.07,0.03,-0.05,0.00,-0.04,0.04,-0.07,-0.13,-0.04,-0.03,-0.08,-0.06,-0.10,0.00,-0.02,-0.01,0.00,0.16,-0.01,0.14,0.02,0.01,-0.14,-0.08,0.08,0.04,0.08
OSI906LINSITINIB_Broad,-0.03,0.10,0.09,0.07,-0.18,0.00,0.14,-0.06,0.21,0.15,0.09,0.12,0.05,0.02,0.13,0.26,0.22,0.15,0.14,0.09,0.21,0.31,0.21,0.09,0.18,0.17,0.13,0.13,0.07,0.20,0.02,0.04,0.19
SERDEMETAN_Broad,0.23,0.01,0.08,0.19,0.04,0.06,0.33,0.38,0.12,0.11,0.03,0.24,0.02,-0.04,0.09,0.39,0.47,0.19,0.07,0.21,0.16,0.03,0.03,0.21,0.11,0.04,0.17,0.23,0.30,0.53,0.00,-0.01,0.15
DABRAFENIB_Broad,-0.07,-0.07,0.01,-0.18,-0.58,-0.08,-0.02,-0.19,-0.08,-0.01,-0.10,0.01,-0.08,-0.10,-0.06,-0.11,-0.09,-0.07,-0.05,0.04,-0.07,-0.06,-0.01,-0.08,-0.20,0.00,0.01,-0.17,-0.21,-0.09,-0.07,-0.08,-0.02
S3I201NSC74859_Broad,0.03,0.00,0.05,0.02,-0.06,0.00,0.07,0.06,0.02,0.05,-0.02,0.04,-0.08,-0.08,0.00,0.03,-0.02,0.00,-0.01,0.06,0.05,0.07,0.05,0.04,-0.10,-0.03,0.06,0.07,-0.04,-0.06,0.04,0.06,0.12
NEURONALDIFFERENTIATIONINDUCERIII_Broad,0.06,-0.05,0.02,0.07,-0.21,-0.08,-0.01,-0.08,-0.14,0.06,-0.04,0.06,-0.21,0.04,-0.02,0.00,-0.20,-0.51,-0.08,0.05,0.03,0.11,0.09,-0.04,-0.17,-0.03,0.04,-0.02,-0.40,-0.04,-0.06,-0.09,0.06
ABT199_Broad,-0.01,-0.01,0.07,-0.05,-0.18,-0.02,0.09,0.02,-0.05,0.05,-0.04,0.02,-0.12,-0.10,-0.03,0.02,-0.02,-0.05,-0.01,-0.03,0.03,0.06,0.02,-0.04,-0.06,-0.07,0.05,0.08,-0.08,-0.09,0.01,0.01,0.08
VINCRISTINE_Broad,0.31,0.23,0.90,0.54,0.16,-0.05,0.59,0.40,0.68,0.29,0.33,0.55,0.29,0.08,0.17,0.36,0.44,0.45,0.27,0.43,0.22,0.34,0.34,0.62,0.59,0.54,0.52,0.41,0.27,0.36,0.13,0.24,0.33
SOTRASTAURIN_Broad,-0.04,-0.09,0.13,0.15,-0.12,-0.13,0.01,-0.04,-0.13,0.02,-0.03,0.05,-0.03,-0.05,-0.24,-0.19,0.34,0.17,-0.05,0.09,-0.10,-0.12,-0.09,-0.19,-0.28,-0.14,0.02,-0.02,-0.13,-0.04,-0.07,0.01,0.08
BYL719_Broad,0.13,0.31,0.16,0.30,0.00,0.03,0.19,0.13,0.19,0.15,0.00,0.18,0.19,0.10,0.22,0.31,0.50,0.41,0.03,0.09,0.23,0.18,0.14,0.17,0.11,0.15,0.12,0.20,-0.01,0.21,0.04,0.00,0.20
HMN214_Broad,0.07,0.03,0.51,0.21,-0.15,-0.04,0.18,0.11,0.27,0.18,0.08,0.28,0.09,-0.03,0.06,0.15,-0.02,0.01,0.20,0.20,0.14,0.14,0.09,0.23,0.15,0.19,0.21,0.23,0.20,0.24,0.09,0.13,0.10
BMS754807_Broad,0.02,0.04,0.27,0.42,0.06,0.01,0.12,0.02,0.41,0.40,0.14,0.40,0.36,0.26,0.37,0.51,0.12,0.06,-0.02,0.00,0.52,0.63,0.54,0.21,0.08,0.22,0.42,0.29,0.11,0.20,0.00,0.02,0.38
AT406SM406ARRY334543_Broad,0.11,-0.01,0.83,0.44,0.07,0.00,0.15,0.33,0.14,0.07,0.07,0.15,0.06,-0.12,0.06,-0.09,0.36,0.60,0.18,0.09,0.10,0.11,0.10,0.13,0.05,0.04,0.10,0.11,0.43,0.85,0.16,0.26,0.03
SKIII_Broad,0.07,0.13,0.05,0.18,-0.10,0.06,0.16,0.05,0.18,0.10,0.05,0.13,0.00,-0.06,-0.03,0.12,0.27,0.26,0.04,0.12,0.03,0.18,0.15,0.10,0.10,0.12,0.18,0.14,-0.07,0.10,-0.01,0.00,0.11
TIGECYCLINE_Broad,-0.08,-0.10,0.01,-0.08,-0.23,-0.07,0.00,-0.02,-0.04,0.00,-0.03,0.02,-0.08,-0.13,-0.06,-0.07,-0.14,-0.11,-0.05,-0.03,0.02,-0.04,-0.04,0.06,0.01,-0.02,0.02,-0.01,-0.11,-0.08,-0.04,-0.05,-0.01
DINACICLIB_Broad,0.61,0.93,0.96,0.92,0.93,0.28,0.88,0.93,0.76,0.86,0.43,0.59,0.99,0.97,0.59,0.82,0.94,0.43,0.87,0.93,0.94,0.88,0.81,0.98,0.98,0.97,0.79,0.97,0.97,0.90,0.87,0.92,0.89
TGX221_Broad,0.01,-0.02,0.15,0.01,-0.31,0.15,0.17,0.15,-0.04,0.04,-0.03,0.04,-0.02,-0.05,0.03,-0.01,0.03,0.04,-0.02,0.11,0.00,-0.01,-0.03,0.22,0.08,0.42,0.00,0.02,-0.20,-0.02,0.25,0.12,0.17
PF3758309_Broad,0.44,0.28,0.81,0.65,0.56,0.23,0.62,0.66,0.56,0.32,0.36,0.57,0.47,0.33,0.52,0.46,0.11,0.14,0.29,0.47,0.51,0.53,0.48,0.53,0.56,0.55,0.39,0.56,0.71,0.88,0.48,0.54,0.34
WZ4002_Broad,0.14,0.00,0.12,-0.06,-0.06,-0.01,0.10,0.05,0.03,0.06,-0.08,0.07,-0.06,-0.09,0.03,0.05,-0.45,-0.18,-0.11,-0.01,-0.02,0.00,-0.01,0.02,-0.08,-0.09,0.07,0.07,-0.08,0.10,-0.01,-0.03,0.17
BIBR1532_Broad,-0.01,-0.03,0.01,-0.06,-0.05,-0.01,0.03,-0.01,-0.04,0.03,-0.06,0.05,-0.09,-0.13,-0.04,-0.03,-0.08,-0.07,-0.08,-0.03,-0.04,0.00,-0.02,-0.01,-0.14,-0.07,0.02,-0.01,-0.08,-0.07,-0.02,-0.02,0.05
FULVESTRANT_Broad,0.04,0.04,0.08,0.01,-0.15,0.01,0.03,0.00,-0.03,0.03,0.00,0.07,-0.07,-0.10,0.01,0.01,0.19,0.08,0.01,0.03,-0.04,0.02,0.02,0.02,-0.05,0.00,0.02,0.04,0.04,0.11,-0.01,-0.03,0.02
TG101348_Broad,0.01,0.06,0.35,0.25,-0.13,0.05,0.13,0.08,0.35,0.22,0.16,0.32,0.10,0.15,0.15,0.14,-0.24,-0.80,0.10,0.37,0.27,0.08,0.02,0.17,0.15,0.23,0.17,0.18,-0.03,0.21,0.07,0.09,0.13
AT406_Broad,0.18,0.07,0.85,0.47,-0.06,0.00,0.19,0.38,0.15,0.12,0.08,0.14,0.07,-0.11,0.13,-0.01,0.42,0.68,0.22,0.17,0.18,0.15,0.13,0.15,0.07,0.06,0.14,0.16,0.39,0.86,0.22,0.34,0.11
LENVATINIB_Broad,-0.03,0.01,0.07,0.03,-0.05,0.00,0.09,0.05,-0.03,0.08,-0.05,0.05,-0.07,-0.10,0.00,-0.01,-0.13,-0.14,-0.06,0.02,0.05,0.11,0.05,-0.02,-0.10,-0.05,0.04,0.02,-0.13,-0.13,-0.01,0.00,0.10
ISTRADEFYLLINE_Broad,-0.05,-0.03,0.03,-0.04,-0.10,-0.05,0.04,-0.03,-0.02,0.04,0.01,0.01,-0.10,-0.12,-0.03,-0.03,-0.01,0.11,-0.03,0.14,0.07,0.01,-0.03,0.19,0.01,-0.03,0.01,0.02,-0.08,-0.03,-0.01,-0.04,0.03
DAPORINAD_Broad,0.41,0.71,0.76,0.82,0.91,0.07,0.88,0.89,0.91,0.99,0.22,0.57,0.87,0.77,0.64,0.70,0.93,0.87,0.73,0.85,0.95,0.88,0.90,0.90,0.87,0.84,0.92,0.91,0.88,0.84,0.50,0.72,0.20
R428_Broad,0.02,-0.06,0.03,0.04,0.02,-0.07,0.17,0.18,-0.02,0.03,0.00,0.19,-0.06,-0.14,0.04,0.13,0.11,0.17,0.07,0.25,0.05,-0.06,-0.09,0.17,0.03,-0.01,0.05,0.03,0.00,0.25,-0.02,-0.04,-0.01
REGORAFENIB_Broad,0.05,-0.08,0.05,-0.14,-0.20,-0.05,0.09,-0.04,-0.07,0.04,-0.12,-0.02,-0.15,-0.16,-0.07,-0.06,0.16,-0.04,-0.09,-0.03,-0.03,0.06,-0.02,-0.06,-0.19,-0.07,0.00,-0.04,-0.28,-0.18,-0.06,-0.06,-0.03
WZ8040_Broad,0.35,0.28,0.42,0.30,0.14,0.08,0.29,0.30,0.22,0.38,0.19,0.23,0.23,0.13,0.25,0.32,0.38,0.28,0.31,0.42,0.35,0.24,0.02,0.37,0.27,0.43,0.19,0.30,-0.15,0.29,0.23,0.21,0.37
TACROLIMUS_Broad,-0.02,-0.03,0.01,-0.04,-0.24,0.00,0.05,0.00,-0.06,0.02,0.03,0.05,-0.05,-0.11,-0.02,0.06,0.01,0.12,-0.02,-0.04,0.02,0.02,0.00,0.03,0.05,-0.02,0.02,0.03,-0.02,0.00,-0.03,-0.01,0.03
AT13387_Broad,0.33,0.52,0.73,0.42,-0.38,0.07,0.64,0.64,0.41,0.38,0.31,0.65,0.50,0.33,0.24,0.42,0.40,-0.02,0.20,0.53,0.51,0.36,0.30,0.51,0.29,0.68,0.25,0.14,0.29,0.20,0.40,0.36,0.02
CISPLATIN_Broad,-0.02,-0.03,0.06,-0.03,-0.28,-0.02,0.05,0.00,-0.04,0.03,-0.09,0.01,-0.12,-0.13,-0.03,-0.03,-0.09,-0.09,-0.06,0.00,0.01,0.03,0.02,0.03,-0.06,-0.03,0.02,0.04,-0.14,-0.11,0.01,0.02,0.06
